,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videoID,embeds,category
69,2026-09-23T05:56:58Z,UCHzCimqhvPhCH75h80pXM1Q,Fast Money Secrets: My 21-Year-Old Entrepreneurship Strategy,"Forget risky gambles. The real fast money? Entrepreneurship. Learn to start a business, identify needs, and sell solutions. This is ...","{'default': {'url': 'https://i.ytimg.com/vi/bUClitDT_lA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/bUClitDT_lA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/bUClitDT_lA/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/bUClitDT_lA/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/bUClitDT_lA/maxresdefault.jpg', 'width': 1280, 'height': 720}}",The Black Business School  ,none,2026-09-23T05:56:58Z,bUClitDT_lA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/bUClitDT_lA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Productivity
43,2026-09-23T04:03:40Z,UCwbP4USYrniJGROwQNiwH-Q,@AntCEO  COOKS Woman Who&#39;s Been Proposed To 12 TIMES,"Husband's NEW Singles Here: Purchase HERE: https://paigeandderson.bandcamp.com/music Hey Loves, Make Sure You Hit ...","{'default': {'url': 'https://i.ytimg.com/vi/xHIHQqhB4oQ/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xHIHQqhB4oQ/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xHIHQqhB4oQ/hqdefault_live.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/xHIHQqhB4oQ/sddefault_live.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/xHIHQqhB4oQ/maxresdefault_live.jpg', 'width': 1280, 'height': 720}}",DeeDeesReactions,upcoming,2026-09-23T04:03:40Z,xHIHQqhB4oQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/xHIHQqhB4oQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
13,2026-09-23T03:47:27Z,UC-4h1XQ47sf0vbFwJvuBhEA,🔴 LIVE | Donald Trump &amp; World Leaders Address the United Nations General Ass,United Nations General Assembly 2026 - UNGA 81 GENERAL DEBATE LIVE | Donald Trump & World Leaders Address the ...,"{'default': {'url': 'https://i.ytimg.com/vi/G3sHIRexnSI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/G3sHIRexnSI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/G3sHIRexnSI/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/G3sHIRexnSI/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/G3sHIRexnSI/maxresdefault.jpg', 'width': 1280, 'height': 720}}",The New Africa Channel,none,2026-09-23T03:47:27Z,G3sHIRexnSI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/G3sHIRexnSI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
19,2026-09-23T03:37:59Z,UCPk29gUc_ltOGQ6f3Lh5kCg,RIVERBEND Hits the Big Screen in 3 Cities This Week | Steve James Action Classic Restored (9/2026),RIVERBEND is back on the big screen for three special screenings this week! The newly restored 1989 action drama starring ...,"{'default': {'url': 'https://i.ytimg.com/vi/LJNU5PBFFEo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/LJNU5PBFFEo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/LJNU5PBFFEo/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/LJNU5PBFFEo/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/LJNU5PBFFEo/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Reelblack One,none,2026-09-23T03:37:59Z,LJNU5PBFFEo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/LJNU5PBFFEo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
33,2026-09-23T03:03:57Z,UCjBw2SidW7wFElbmj9bgDjw,I&#39;m never doing that again... I promise!,Appearing on that circus was a regrettable waste of time...,"{'default': {'url': 'https://i.ytimg.com/vi/2F37bJP2-9M/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2F37bJP2-9M/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2F37bJP2-9M/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/2F37bJP2-9M/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/2F37bJP2-9M/maxresdefault.jpg', 'width': 1280, 'height': 720}}",The Kings Monologue,none,2026-09-23T03:03:57Z,2F37bJP2-9M,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/2F37bJP2-9M"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",History
47,2026-09-23T03:00:33Z,UCbB_WVM-e7nuhWd_FB_8KBQ,Egypt Just Opened The Best Museum In The World | One54 Africa Podcast,"Egypt just opened the Grand Museum, which is supposed to be the best museum in the world.” - Mena Massoud #menamassoud ...","{'default': {'url': 'https://i.ytimg.com/vi/CXWbY25PsN0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/CXWbY25PsN0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/CXWbY25PsN0/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/CXWbY25PsN0/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/CXWbY25PsN0/maxresdefault.jpg', 'width': 1280, 'height': 720}, 'fhd': {'url': 'https://i.ytimg.com/vi/CXWbY25PsN0/fhddefault.jpg', 'width': 1920, 'height': 1080}}",One54 Africa,none,2026-09-23T03:00:33Z,CXWbY25PsN0,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/CXWbY25PsN0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
46,2026-09-23T02:26:06Z,UCrPq2ekHx2vZtuyG3wUx0_g,"Colin Kaepernick Took A Knee, What Was The Outcome? | OTSOT Tuesday Night Live","Colin Kaepernick on The Perilous Fight, the NFL, Roc Nation and Jay Z & What It Cost Him: ...","{'default': {'url': 'https://i.ytimg.com/vi/kGBEKgdd5Lg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/kGBEKgdd5Lg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/kGBEKgdd5Lg/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/kGBEKgdd5Lg/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/kGBEKgdd5Lg/maxresdefault.jpg', 'width': 1280, 'height': 720}}",On the Shoulders of Giants ,none,2026-09-23T02:26:06Z,kGBEKgdd5Lg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/kGBEKgdd5Lg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
70,2026-09-23T02:15:22Z,UCQoxJOkwaCgyzQtiuAIDcuw,Stevie J Is A Bad Dad? I CLUB SHAY SHAY,"Stevie J Is A Bad Dad? ""Bonnie Bella is Balistic's daughter. ... He had her since she was 4 months. ... He taught her how to swim, ...","{'default': {'url': 'https://i.ytimg.com/vi/k9vvPSOFGQ8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/k9vvPSOFGQ8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/k9vvPSOFGQ8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/k9vvPSOFGQ8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/k9vvPSOFGQ8/maxresdefault.jpg', 'width': 1280, 'height': 720}}",Club Shay Shay,none,2026-09-23T02:15:22Z,k9vvPSOFGQ8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/k9vvPSOFGQ8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
11,2026-09-23T02:09:46Z,UCeUtB7lGgo5ZVIVzqELT-1A,"IRAN VISITS UN, TRUMP PIVOTS, MAX BLUMENTHAL REVEAL, ZOHRAN TRUMP MEETING, SHANNON SHARPE VENTS",Website: https://sabbysabs.com/ Patreon: https://www.patreon.com/SabrinaSalvati PayPal: ...,"{'default': {'url': 'https://i.ytimg.com/vi/vN9niNQQKT8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/vN9niNQQKT8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/vN9niNQQKT8/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/vN9niNQQKT8/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/vN9niNQQKT8/maxresdefault.jpg', 'width': 1280, 'height': 720}, 'uhd': {'url': 'https://i.ytimg.com/vi/vN9niNQQKT8/uhddefault.jpg', 'width': 3840, 'height': 2160}}",Sabby Sabs,none,2026-09-23T02:09:46Z,vN9niNQQKT8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/vN9niNQQKT8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
0,2026-09-23T01:42:55Z,UCG7uFJVZsxQRwDssom9Pavw,United Nations General Assembly World Leaders Speeches #UNGA81 DAY 1,The high-level General Debate for the 81st session of the United Nations General Assembly (UNGA 81) kicks off in New York City ...,"{'default': {'url': 'https://i.ytimg.com/vi/Zar8jVDQzz4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Zar8jVDQzz4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Zar8jVDQzz4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/Zar8jVDQzz4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/Zar8jVDQzz4/maxresdefault.jpg', 'width': 1280, 'height': 720}}",2nacheki,none,2026-09-23T01:42:55Z,Zar8jVDQzz4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Zar8jVDQzz4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
